A    
a     art.一(个)；每一(个)
scamp     [skæmp] v. 草率地做；n. 恶棍，流氓
scamper     ['skæmpə] v. 奔跑，快跑
scan     [skæn] vt.细看；浏览；扫描
scandal     ['skændl] n.丑闻；恶意的诽谤，流言蜚语
scant     [skænt] a.不足的，缺乏的
scar     [skɑː] n.伤疤，伤痕；创伤
scarce     [skeəs] a.缺乏的；希有的
scarcely     [ˈskeəsli] ad.仅仅；几乎不
scarcity     ['skeəsiti] n.不足，缺乏
scare     [skeə] vt.惊吓 vi.受惊
scarf     [skɑːf] n.围巾，头巾；领带
scarp     [skɑ:p] n. 悬崖，陡坡
scathe     [skeið] n./v. 损害，烧伤，烧焦；严厉批评
scathing     ['skeiðiŋ] a.(批评，嘲笑等)苛刻的，严厉的
scatter     [ˈskætə] vt.使消散；撒；散播
scenario     [si'nɑ:riəu] n.剧情说明书，剧本
scene     [siːn] n.发生地点；道具
scenery     [ˈsiːnəri] n.舞台布景；风景
scent     [sent] n.气味，香味；香水
sceptical     ['skeptikəl] a. 怀疑的，不相信的
schedule     [ˈskedʒjul] n.时间表；计划表
schematic     [ski'mætik] a.纲要的，图解的
schematize     ['ski:mətaiz] v.扼要表示
scheme     [skiːm] n.计划，规划；诡计
schism     ['sizəm] n.组织分裂(尤指教会)
scholar     [ˈskɔlə] n.学者(尤指文学方面)
scholarship     [ˈskɔlə∫ip] n.学业成绩；奖学金
school     [skuːl] n.学校；学院；学派
science     [ˈsaiəns] n.科学，科学研究
scientific     [saiənˈtifik] a.科学(上)的
scientist     [ˈsaiəntist] n.(自然)科学家
scintillate     ['sintileit] v. 闪烁;(谈吐)流露机智
scion     ['saiən] n.嫩芽；子孙
scission     ['siʒən] n. 切断，分离，分裂
scissor     ['sizə] n.剪刀
scissors     [ˈsizəz] n.剪刀，剪子
scoff     [skɔf] v.嘲笑；狼吞虎咽；n.嘲笑，笑柄
scold     [skəuld] vi.责骂 vt.申斥
scoop     [sku:p] n.小铲，勺子；v.(用勺子)取出，舀出
scooter     ['sku:tə] n. 滑行车，踏板车
scope     [skəup] n.范围；余地，机会
scorch     [skɔ:tʃ] v.烤焦，烧焦
scorching     ['skɔ:tʃiŋ] a. 酷热的
score     [skɔː] n.得分，比数，成绩
scorn     [skɔːn] n.轻蔑；嘲笑 vt.轻蔑
scorpion     ['skɔ:piən] n.蝎子
scotch     [skɔtʃ] v.镇压，粉碎，阻止
scour     ['skauə] v. 擦洗，擦亮；四处搜索
scourge     [skə:dʒ] n.鞭子；造成灾难的人或事物；v.鞭打；使受磨难、痛苦
scout     [skaut] n.侦察员，侦察机
scowl     [skaul] n.怒容；v.生气地皱眉，怒视
scraggly     [ˈskræɡli] a. 参差不齐的；蓬乱的
scramble     ['skræmbl] v. 攀登；争夺
scrap     [skræp] n.小片，碎屑；v.废弃(无用的或坏的东西)
scrape     [skreip] vt.&vi.&n.刮，擦
scrappy     ['skræpi] a.碎片的，零碎拼起来的；好斗的；坚毅的
scratch     [skræt∫] vt.&vi.&n.搔；抓
scrawl     [skrɔ:l] v.潦草地写，乱涂
scream     [skriːm] vi.尖叫；呼啸
screed     [skri:d] n. 冗长的演说，长篇大论的文章
screen     [skriːn] n.屏；屏幕 vt.掩蔽
screw     [skruː] n.螺旋，螺丝 vt.拧紧
screwdriver     ['skru:draivə] n.螺丝起子；改锥
scribble     ['skribl] v.乱写，乱涂
scrimp     [skrimp] v. 节省或精打细算
script     [skript] n.剧本，脚本
scripture     ['skriptʃə] n.经文，圣典；圣经(=the Bible)
scroll     [skrəul] n.卷轴，纸卷；画卷
scrub     [skrʌb] n.矮树丛；身体矮小的人；v.用力擦洗
scruffy     ['skrʌfi] a. 肮脏的，不洁的
scrumptious     ['skrʌmpʃəs] a. (食物)很可口的
scruple     ['skru:pl] n.顾忌，迟疑；v.顾忌
scrutable     ['skru:təbl] a.可以理解的
scrutinize     ['skrutinaiz] v.详细彻底检查；细读，细看
scrutiny     n.详细审查
scud     [skʌd] v. 疾行，疾驶
scuff     [skʌf] v.拖着脚走
sculpt     [skʌlpt] v.雕刻
sculptor     ['skʌlptə(r)] n.雕刻家
sculpture     n.雕刻,雕刻品,雕塑,雕塑品,[地理]刻蚀;v.雕刻,雕塑,刻蚀
scurrilous     ['skʌriləs] a.下流的，粗俗的
scurry     ['skʌri] v.(小步)急跑，疾行
scurvy     ['skə:vi] a.卑鄙的，可鄙的；n.坏血病
scutter     ['skʌtə] v. 疾走
scuttle     ['skʌtl] n. 舷窗，舱口盖
scythe     [saið] n.(割草用的)大镰刀
sea     [siː] n.海，海洋
seafaring     ['si:feəriŋ] a. 航海的，跟航海有关的
seal     [siːl] n.封蜡；印记 vt.封
seam     [si:m] n.缝，接缝(尤指布)
seaman     [ˈsiːmən] n.海员，水手；水兵
seamy     ['si:mi] a.肮脏的，污秽的，恶劣的，丑恶的
seaport     [ˈsiːpɔːt] n.海港，港市
sear     [siə] v.(以烈火)烧灼，烧焦
search     [səːt∫] vt.在…中搜寻，搜查
seaside     ['si:said] n.海滨,海边
season     [ˈsiːzn] n.季，季节，时节
seasoned     ['si:znd] a.有经验的，训练有素的
seasoning     ['si:zniŋ] n.调味品，佐料
seat     [siːt] n.座；座部 vt.使坐下
secede     [si'si:d] v.正式脱离或退出(组织)
seclude     [si'klu:d] v. 和别人隔离
second     [ˈsekənd] num.第二 a.二等的
secondary     [ˈsekəndəri] a.第二的；次要的
secondly     ad.第二(点)；其次
secret     [ˈsiːkrit] a.秘密的；隐蔽的
secretary     [ˈsekrəteri] n.秘书；书记；大臣
secrete     [si'kri:t] v.隐藏；分泌
secretive     ['si:krətiv] a.守口如瓶的，爱保密的，爱把思想、情感深藏的
sect     [sekt] n. (宗教等)派系
section     [ˈsek∫ən] n.切片；一段；部门
sector     ['sektə] n.部门，部分;防御地段，防区;扇形
secular     ['sekjulə] a.世俗的，尘世的
secure     [siˈkjuə] a.安心的；安全的
securities     [si'kjuəritiz] n.有价证券
security     [siˈkjuəriti] n.安全，安全感
sedate     [si'deit] a.(人或人的行为)镇静的
sedative     ['sedətiv] a.(药物)镇静的；n.镇静剂
sedentary     ['sedəntəri] a.久坐的
sediment     ['sedimənt] n.沉淀物，渣
sedition     [si'diʃən] n. 煽动叛乱
seditious     [si'diʃəs] a. 煽动性的
sedulity     [si'dju:liti] n.勤奋，勤勉
sedulous     ['sedjuləs] a.勤勉的
see     [siː] vt.看见；遇见；看出
seed     [siːd] n.种(子)，籽，萌芽
seedling     ['si:dliŋ] n.幼苗
seek     [siːk] vt.寻找，探索；试图
seem     [siːm] vi.好像，似乎
seemingly     adv.表面上地
seemly     ['si:mli] a.得体的，适宜的(合乎礼仪的)
seep     [si:p] v.(液体等)渗漏
seethe     [si:ð] v.(液体)沸腾，汹涌
segment     ['seɡmənt] n.一部分
segregate     v.隔离
seine     [sein] n.大捕鱼网
seismic     ['saizmik] a.地震的，有地震引起的
seize     [siːz] vt.抓住，逮捕；夺取
seldom     [ˈseldəm] ad.很少，不常，难得
select     [siˈlekt] vt.&vi.选择，挑选
selection     [siˈlek∫ən] n.选择，挑选；精选物
self     [self] n.自我，自己
self-abasement     [,selfə'beismənt] n. 自卑，自谦
self-absorbed     [,selfəb'sɔ:bd] a. 自恋的
self-assertion     [,selfə'sə:ʃən] n. 坚持己见，自信
selfish     [ˈselfi∫] a.自私的，利己的
sell     [sel] vt.&vi.卖，销售
seller     [ˈselə] n.卖者；行销货
semblance     ['sembləns] n.外貌；相似
semester     [siˈmestə] n.半年；学期，半学年
semiconductor     [ˈsemikənˈdʌktə] n.半导体
seminal     ['si:minl] a.有创意的；对以后发展有巨大影响的
seminar     ['seminɑ:] n.(大学的)研究班,研讨会
seminary     ['seminəri] n.神学院
senate     [ˈsenit] n.参议院，上院
senator     n.参议员,(大学的)评议员,(古罗马的)元老院议员
send     [send] vt.送，寄发；派遣
senile     ['si:nail] a. 年老的
senior     [ˈsiːnjə] a.年少的；地位较高的
sensation     [sen'seiʃən] n.知觉；轰动(的事)
sense     [sens] n.感官；感觉；见识
sensible     [ˈsensəbl] a.感觉得到的；明智的
sensitive     [ˈsensitiv] a.敏感的；灵敏的
sensitivity     [,sensi'tiviti] n.敏感，灵敏性
sensitization     [,sensitai'zeiʃən] n.敏感化
sensitize     ['sensitaiz] v. 使某人或某事物敏感
sensual     ['sensjuəl] a. 肉欲的，淫荡的
sentence     [ˈsentəns] n.判决；句子 vt.宣判
sententious     [sen'tenʃəs] a. 好说教的；简要的
sentient     ['senʃənt] a.有知觉的；知悉的，察觉到的
sentiment     ['sentimənt] n.(对怜悯、怀旧等的)柔懦情感(尤与理智相对)
sentinel     ['sentinl] n.哨兵，卫兵
sentry     ['sentri] n. 哨兵，步哨
separate     [ˈsepəreit] a.分离的；个别的
separately     [ˈsepərətli] ad.分离地
separation     [sepəˈrei∫ən] n.分离，分开/居
September     [səpˈtembə] n.九月
septic     ['septik] a.受感染的
sepulchral     [si'pʌlkrəl] a.坟墓的；阴深的
sequacious     [si'kweiʃəs] a. 盲从的
sequela     [si'kwi:lə] n. 后继者；后遗症
sequence     [ˈsiːkwəns] n.连续，继续；次序
sequential     [si'kwinʃəl] a.连续的，一连串的，按次序的
sequester     [si'kwestə] v.(使)隐退；使隔离，使隔绝
sequestrate     [si'kwestreit] v. 扣押，没收
seraphic     [se'ræfik] a.如天使般的，美丽的
sere     [siə] a.干枯的，凋萎的
serenade     [,seri'neid] n. 夜曲
serendipity     [,serən'dipiti] n. 善于发掘新奇事物的天赋
serene     [si'ri:n] a.清澈的，晴朗的；安静的，平静的
serfdom     ['sə:fdəm] n. 农奴身份，农奴境遇
sergeant     n.警官,军士
serial     ['siəriəl] a.连续的，一系列的
series     [ˈsiəriːz] n.连续，系列；丛书
serious     [ˈsiəriəs] a.严肃的；认真的
seriously     [ˈsiəriəsli] ad.严肃地，认真地
sermon     ['sə:mən] n.布道，说教，训诫
sermonize     ['sə:mənaiz] v. 说教，讲道
serpentine     ['sə:pəntain] a. 似蛇般绕曲的，蜿蜒的
serrate     ['serit] a.锯齿状的
serrated     [se'reitid] a.呈锯齿状的
serried     ['serid] a.(人或物的行列)密集的
servant     [ˈsəːvənt] n.仆人，佣人，雇工
serve     [səːv] vt.为…服务；招待
service     [ˈsəːvis] n.服务；行政部门
serviceable     ['sə:visəbl] a.可用的，耐用的
servile     ['sə:vail] a.奴性的，百依百顺的
servitude     ['sə:vitju:d] n.奴役，劳役
session     [ˈse∫ən] n.会议，一段时间
set     [set] vt.放；安置 vi.落
setback     ['setbæk] n.挫折，阻碍成功的事物
setting     [ˈsetiŋ] n.安装，调整；环境
settle     [ˈsetl] vt.安排；安放；调停
settled     ['setld] a.固定的
settlement     [ˈsetlmənt] n.解决；殖民(地)
seven     [ˈsevən] num.七，七个(人或物)
seventeen     [ˈsevənˈtiːn] num.十七，十七个
seventh     [ˈsevənθ] num.第七；七分之一
seventy     [ˈsevənti] num.七十，七十个
sever     ['sevə] v.切断，脱离
several     [ˈsevərəl] a.几个，数个
severe     [siˈviə] a.严格的；严厉的
severely     [siˈviəli] ad.严厉地，严格地
sew     [sjuː] vt.缝制 vi.缝纫
sewer     ['sjuə] n.排水沟，下水道；缝纫者
sex     [seks] n.性别，性
sextant     ['sekstənt] n.六分仪(航海定向仪器)
shabby     ['ʃæbi] a. 破烂的；卑鄙的
shack     [ʃæk] n. 简陋的小屋，棚屋
shackle     ['ʃækl] n.脚镣，枷锁
shade     [∫eid] n.荫；遮光物 vi.荫蔽
shadow     [ˈ∫ædəu] n.阴影，阴，影子
shady     [ˈ∫eidi] a.成荫的，阴凉的
shaft     n.轴,杆状物
shake     [∫eik] vt.摇，使震动 n.摇动
shale     [ʃeil] n.页岩(一种由似泥土细粒的沉淀物层组成的易分裂的岩石)
shall     [∫æl] aux.v.将要；必须；应
shallow     [ˈ∫æləu] a.浅的；浅薄的
sham     [ʃæm] n.虚假，装出来的东西；v.伪装
shamble     ['ʃæmbl] v. 蹒跚而行，踉跄而行
shambles     ['ʃæmblz] n.凌乱景象，杂乱无章
shame     [∫eim] n.羞耻，羞愧；羞辱
shampoo     [∫æmˈpuː] vt.用洗发剂洗 n.洗头
shanty     ['ʃænti] n. 简陋的小木屋
shape     [∫eip] n.形状；情况 vt.形成
shard     [ʃɑ:d] n.(陶器等)碎片
share     [∫eə] n.份；份额；股份
shark     n.[鱼]鲨鱼,骗子<俚>内行,专家;v.敲诈
sharp     [∫ɑːp] a.锋利的；敏锐的
sharpen     [ˈ∫ɑːpən] vt.削尖，使敏锐
sharply     [ˈ∫ɑːpli] ad.锐利地，敏锐地
shatter     n.粉碎,碎片,落花(叶,粒等);vt.打碎,使散开,粉碎,破坏;vi.粉碎,损坏,落叶
shattered     ['ʃætəd] a.(事物，想法，希望)粉碎的；破坏的
shave     [∫eiv] vt.剃，刮 vi.修面
shavings     ['ʃeiviŋs] n.刨花
shawl     [ʃɔ:l] n. (妇女用)披肩
she     [∫iː] pron.(主格)她
sheaf     [ʃi:f] n. 一捆，一束
shear     [∫iə] vt.剪；剥夺 vi.剪
sheath     [ʃi:θ] n.(刀、剑)鞘、套
sheathe     [ʃi:ð] v.将(刀，剑等)插入鞘
shed     [∫ed] vt.流出；散发；脱落
sheen     [ʃi:n] n. 光辉，光泽
sheep     [∫iːp] n.羊，绵羊
sheer     [ʃiə] a.完全的；陡峭的；极薄的
sheet     [∫iːt] n.被单；纸张；薄板
shelf     [∫elf] n.搁板，架子
shell     [∫el] n.壳；贝壳；炮弹
shelter     [ˈ∫eltə] n.隐蔽处；掩蔽，庇护
shelve     [ʃelv] v.(物品，事情)搁置
shepherd     [ˈ∫epəd] n.牧羊人，羊倌
sheriff     ['ʃerif] n.警长，县治安官，司法长官
shibboleth     ['ʃibəleθ] n. 陈旧语句
shield     [∫iːld] n.盾；防护物 vt.保护
shift     [∫ift] vt.替换，转移 n.转换
shiftiness     ['ʃiftinis] n.奸诈
shiftless     ['ʃiftlis] a.没有志向的；偷懒的；无能的
shilling     [ˈ∫iliŋ] n.先令
shilly-shally     ['ʃiliʃæli] v. 犹豫不决,虚度时光
shimmer     ['ʃimə] v. 闪烁，微微发亮
shine     [∫ain] vi.照耀，发光 n.光
shingle     ['ʃiŋɡl] n.木瓦，屋顶板；木质小招牌
ship     [∫ip] n.(大)船，海船，舰
shipment     n.装船,出货
shipshape     ['ʃipʃeip] a.整洁的，井然有序的
shipwright     ['ʃiprait] n. 造船者
shirk     [ʃə:k] v.逃避
shirt     [∫əːt] n.(男式)衬衫
shiver     [ˈ∫ivə] vi.颤抖，哆嗦 n.冷颤
shoal     [ʃəul] n.浅滩，浅水处；一群(鱼等)；a.水浅的
shock     [∫ɔk] n.冲击；震惊 vi.震动
shoddy     ['ʃɔdi] n.劣质的，冒充好货的
shoe     [∫uː] n.鞋
shoot     [∫uːt] vt.发射；射中 n.发芽
shop     [∫ɔp] n.商店，店铺；车间
shopkeeper     [ˈ∫ɔpkiːpə(r)] n.店主
shoplift     ['ʃɔp,lift] v.在商店里偷窃货品
shopping     [ˈ∫ɔpiŋ] n.买东西，购物
shopworn     ['ʃɔpwɔ:n] a.（在商店中陈列过久而)旧了的
shore     [∫ɔː] n.滨，岸
short     [∫ɔːt] a.短的；短期的
shortage     [ˈ∫ɔːtidʒ] n.不足，缺少，不足额
shortcoming     [ˈ∫ɔːtkʌmiŋ] n.短处，缺点
shorthand     ['ʃɔ:thænd] n.速记
shortly     [ˈ∫ɔːtli] ad.立刻；简短地
shot     [∫ɔt] n.发射；弹丸；射门
should     [∫ud] aux.v.将；万一；就
shoulder     [ˈ∫əuldə] n.肩，肩膀；挑起
shout     [∫aut] n.&vi.呼喊，喊叫
shove     [ʃʌv] v.推挤，猛推
show     [∫əu] vt.给…看；表明
shower     [ˈ∫auə] n.阵雨；(一)阵；淋浴
showy     ['ʃəui] a. 俗艳的；炫耀的
shred     ['ʃred] n. 碎片，破布；些许
shrewd     [ʃru:d] a.判断准确的，精明的
shriek     [∫riːk] vi.尖声喊叫 n.尖叫声
shrine     [ʃrain] n.神坛，圣地
shrink     [ʃriŋk] v.收缩，皱缩
shrivel     ['ʃrivl] v. (使)枯萎
shroud     [ʃraud] n.寿衣，裹尸布；遮蔽物；v.覆盖
shrub     [ʃrʌb] n.灌木
shrug     [ʃrʌɡ] v.耸肩(表示怀疑等)
shuck     [ʃʌk] n.(植物的)壳，夹；无用之物
shudder     ['ʃʌdə] v./n.(因寒冷、恐惧等)战栗，发抖
shuffle     ['ʃʌfl] v. 拖步走；支吾；洗牌
shun     [ʃʌn] v.避免，回避
shunt     [ʃʌnt] v.使(火车)转到另一轨道，转移方向
shut     [∫ʌt] vt.关上，闭上，关闭
shutter     n.耸肩;v.耸肩
shuttle     ['ʃʌtl] v. (使)穿梭移动，往返运送
shy     [∫ai] a.易受惊的；害羞的
sibilant     ['sibilənt] a.发出咝咝声的
sibling     ['sibliŋ] n.兄弟或姊妹
sibyl     ['sibil] n.女预言家，女先知
sick     [sik] a.有病的；恶心的
sickness     [ˈsiknis] n.疾病
side     [said] n.边，旁边；一方
sidereal     [sai'diəriəl] a.(天文)恒星的
sideshow     ['saidʃəu] n.(马戏团，游乐场的)杂耍，穿插表演
sidesplitting     ['saidsplitiŋ] a. 令人捧腹大笑的
sidestep     ['saidstep] v.横跨一步以躲避；回避
sideways     [ˈsaidweiz] ad.斜着，斜向一边地
sidle     ['saidl] v. (偷偷地)侧身而行
siege     [si:dʒ] n.包围，围攻
sieve     n.筛,滤网,不会保密的人;v.筛,过滤
sift     [sift] v.筛，过滤
sigh     [sai] n.&vi.叹气，叹息
sight     [sait] n.视力；见；情景
sightseeing     [ˈsaitsiːiŋ] n.观光，游览
sign     [sain] n.符号；招牌 n.签名
signal     [ˈsignl] n.信号 vi.发信号
signatory     ['siɡnətəri] n. 签署者，签署国
signature     [ˈsignit∫ə] n.署名，签字，签名
significance     [sigˈnifikəns] n.意义，意味；重要性
significant     [sigˈnifikənt] n.有意义/重要的
signify     ['siɡnifai] v.表示；有重要性
silence     [ˈsailəns] n.沉默 vt.使沉默
silent     [ˈsailənt] a.沉默的；寂静无声的
silicon     n.[化]硅,硅元素
silk     [silk] n.蚕丝，丝，丝织品
sill     [sil] n.门槛；窗台
silly     [ˈsili] a.傻的，愚蠢的
silt     [silt] n.淤泥，淤沙
silver     [ˈsilvə] n.银；银子；银器
silversmith     ['silvəsmiθ] n.银匠
simian     ['simiən] a. 猿的，猴的；n. 猴，类人猿
similar     [ˈsimilə] a.相似的，类似的
similarly     [ˈsimiləli] ad.类似地，相似地
simile     ['simili] n. 明喻
simonize     ['saimənaiz] v. 给„上蜡，把„擦亮
simper     ['simpə] v.痴笑，傻笑
simple     [ˈsimpl] a.简单的；朴素的
